GeneSymbol,PriorityScore,Interactome,SrcPred,SrcKnown,pYXXP,FynKnown,Enriched,CrkIntAct,AblPred,AblKnown,Rank
ACTA2,3,no,no,no,yes,no,no,no,no,no,603
PPP1R11,3,no,no,no,yes,no,no,no,no,no,604
SND1,3,no,no,no,yes,no,no,no,no,no,605
PCBP2,3,no,no,no,yes,no,no,no,no,no,606
ACTA1,3,no,no,no,yes,no,no,no,no,no,607
WNK1,3,no,no,no,yes,no,no,no,no,no,608
HNRNPH3,3,no,no,no,yes,no,no,no,no,no,609
OPHN1,3,no,no,no,yes,no,no,no,no,no,610
AGO3,3,no,no,no,yes,no,no,no,no,no,611
CHD2,3,no,no,no,yes,no,no,no,no,no,612
PYGB,3,no,no,no,yes,no,no,no,no,no,613
UBR5,3,no,no,no,yes,no,no,no,no,no,614
HNRNPC,3,no,no,no,yes,no,no,no,no,no,615
DDR2,3,no,no,no,yes,no,no,no,no,no,616
SLC39A3,3,no,no,no,yes,no,no,no,no,no,617
MED1,3,no,no,no,yes,no,no,no,no,no,618
SPATA2,3,no,no,no,yes,no,no,no,no,no,619
BLK,3,no,no,no,yes,no,no,no,no,no,620
ITSN2,3,no,no,no,yes,no,no,no,no,no,621
DMTN,3,no,no,no,yes,no,no,no,no,no,622
TAGLN3,3,no,no,no,yes,no,no,no,no,no,623
THRAP3,3,no,no,no,yes,no,no,no,no,no,624
PDLIM1,3,no,no,no,yes,no,no,no,no,no,625
SLC38A2,3,no,no,no,yes,no,no,no,no,no,626
ABCC5,3,no,no,no,yes,no,no,no,no,no,627
ELAVL1,3,no,no,no,yes,no,no,no,no,no,628
KCNAB2,3,no,no,no,yes,no,no,no,no,no,629
PRPSAP2,3,no,no,no,yes,no,no,no,no,no,630
GOT1,3,no,no,no,yes,no,no,no,no,no,631
LMO7,3,no,no,no,yes,no,no,no,no,no,632
ACTC1,3,no,no,no,yes,no,no,no,no,no,633
SFPQ,3,no,no,no,yes,no,no,no,no,no,634
DLG2,3,no,no,no,yes,no,no,no,no,no,635
ALDOA,3,no,no,no,yes,no,no,no,no,no,636
YBX1,3,no,no,no,yes,no,no,no,no,no,637
KIAA1217,3,no,no,no,yes,no,no,no,no,no,638
MAP1B,3,no,no,no,yes,no,no,no,no,no,639
CKM,3,no,no,no,yes,no,no,no,no,no,640
EEF2,3,no,no,no,yes,no,no,no,no,no,641
TAGLN2,3,no,no,no,yes,no,no,no,no,no,642
RANBP1,3,no,no,no,yes,no,no,no,no,no,643
NIPSNAP1,3,no,no,no,yes,no,no,no,no,no,644
CKAP2L,3,no,no,no,yes,no,no,no,no,no,645
GAPVD1,3,no,no,no,yes,no,no,no,no,no,646
SLC1A5,3,no,no,no,yes,no,no,no,no,no,647
7-Mar,3,no,no,no,yes,no,no,no,no,no,648
PDLIM5,3,no,no,no,yes,no,no,no,no,no,649
ATP1A3,3,no,no,no,yes,no,no,no,no,no,650
KATNB1,3,no,no,no,yes,no,no,no,no,no,651
ARHGAP32,3,no,no,no,yes,no,no,no,no,no,652
TFG,3,no,no,no,yes,no,no,no,no,no,653
USP15,3,no,no,no,yes,no,no,no,no,no,654
TOM1,3,no,no,no,yes,no,no,no,no,no,655
FAM120B,3,no,no,no,yes,no,no,no,no,no,656
ANKS1A,3,no,no,no,yes,no,no,no,no,no,657
FARSA,3,no,no,no,yes,no,no,no,no,no,658
